gaiaId,propertyId,hotelName,hotelDesc,rating,address,imageURL
3110,35093254,HOTEL LiVEMAX SENDAI AOBADORI,Enjoy your visit to Sendai with a stay at HOTEL LiVEMAX SENDAI AOBADORI. Free perks include WiFi and wired Internet. The property is just a short walk to public transportation: Hirose-dori Station is 14 minutes away.   ,8.0/10 Very Good,"1-3-6 Omachi Aoba-ku, Sendai, Miyagi, 9800804",https://images.trvl-media.com/lodging/36000000/35100000/35093300/35093254/cc45f841.jpg?impolicy=resizecrop&rw=1200&ra=fit
3110,6284150,Sendai Royal Park Hotel,"Adjacent to a golf course, Sendai Royal Park Hotel is a great choice for a stay in Sendai. Guests can indulge in massages or Ayurvedic treatments, and Garden Restaurant, one of 3 restaurants, serves French cuisine and is open for breakfast, lunch, and dinner. A bar/lounge, a terrace, and a garden are other highlights at this upscale hotel. Fellow travelers say good things about the helpful staff and overall property condition.   ",9.0/10 Wonderful,"6-2-1 Teraoka, Izumi-ku, Sendai, Miyagi-ken, 981-3204",https://images.trvl-media.com/lodging/7000000/6290000/6284200/6284150/a6f78063.jpg?impolicy=resizecrop&rw=1200&ra=fit
3110,45953,Hotel Metropolitan Sendai,"Located near a train station, Hotel Metropolitan Sendai is a great choice for a stay in Sendai. The bar is a great place to grab a drink, and guests looking for a bite to eat can check out Restaurant Serenity, one of 3 restaurants, which serves breakfast, lunch, and dinner. Fellow travelers like that it's just a short walk to public transportation: Itsutsu-Bashi Station is 10 minutes away and Hirose-dori Station is 11 minutes. ",8.8/10 Excellent,"1-1-1 Chuo, Aoba-ku, Sendai, Miyagi-ken, 980-8477",https://images.trvl-media.com/lodging/1000000/50000/46000/45953/c29ddb56.jpg?impolicy=resizecrop&rw=1200&ra=fit
3110,3729195,Hotel Monte Hermana Sendai,"Located near a train station, Hotel Monte Hermana Sendai is a great choice for a stay in Sendai. Guests will have free perks like WiFi and wired Internet. Fellow travelers like that it's just a short walk to public transportation: Hirose-dori Station is 5 minutes away and Kotodai-Koen Station is 14 minutes. ",8.6/10 Excellent,"1-2-15 Kakyoin, Aoba-ku, Sendai, Miyagi-ken, 980-0013",https://images.trvl-media.com/lodging/4000000/3730000/3729200/3729195/7e70ee36.jpg?impolicy=resizecrop&rw=1200&ra=fit
3110,795075,"Holiday Inn ANA Sendai, an IHG Hotel","Located near a train station, Holiday Inn ANA Sendai, an IHG Hotel is a great choice for a stay in Sendai. For a bite to eat, guests can check out Casual Dining Chefs Table, which serves international cuisine and is open for breakfast, lunch, and dinner. Fellow travelers say good things about the breakfast. Public transportation is just a short walk: Itsutsu-Bashi Station is 6 minutes and Atago-Bashi Station is 12 minutes.   ",8.4/10 Very Good,"1-4-1 Shintera Wakabayasi Ku, Sendai, Miyagi-ken, 984 0051",https://images.trvl-media.com/lodging/1000000/800000/795100/795075/81019414.jpg?impolicy=resizecrop&rw=1200&ra=fit
3110,23942255,Richmond Hotel Sendai,Richmond Hotel Sendai is a great choice for a stay in Sendai. Public transportation is just a short walk: Hirose-dori Station is 10 minutes and Kotodai-Koen Station is 14 minutes.   ,8.4/10 Very Good,"1-4-12 Kakyoin Aobaku, Sendai, Miyagi, 980-0013",https://images.trvl-media.com/lodging/24000000/23950000/23942300/23942255/7fc21882.jpg?impolicy=resizecrop&rw=1200&ra=fit
3110,29107850,Hotel Sankyo Fukushima,Enjoy your visit to Fukushima with a stay at Hotel Sankyo Fukushima. Fellow travelers like the overall property condition and breakfast.   ,8.8/10 Excellent,"7-11 O-Machi, Fukushima, Fukushima, 960-8041",https://images.trvl-media.com/lodging/30000000/29110000/29107900/29107850/7d891b5e.jpg?impolicy=resizecrop&rw=1200&ra=fit
3110,17080798,Apa Hotel Fukushima-Ekimae,"Located near a train station, Apa Hotel Fukushima-Ekimae is a great choice for a stay in Fukushima. Guests can indulge in massages at the spa, and Cafe Tora serves breakfast, lunch, and dinner. Fellow travelers say good things about the overall property condition.   ",8.4/10 Very Good,"8-20 Ota-cho, Fukushima, Fukushima, 960-8068",https://images.trvl-media.com/lodging/18000000/17090000/17080800/17080798/1faf647b.jpg?impolicy=resizecrop&rw=1200&ra=fit
3110,66441177,Henn na Hotel Sendai Kokubuncho,Enjoy your visit to Sendai with a stay at Henn na Hotel Sendai Kokubuncho. Fellow travelers say good things about the overall property condition. The property is just a short walk to public transportation: Hirose-dori Station is 6 minutes and Kotodai-Koen Station is 7 minutes.   ,9.0/10 Wonderful,"4-2-12 Ichibancho, Aoba, Sendai, Miyagi, 980-0811",https://images.trvl-media.com/lodging/67000000/66450000/66441200/66441177/88d6bdd7.jpg?impolicy=resizecrop&rw=1200&ra=fit
3110,41457645,DaiwaRoynetHotel Sendai Ichibanchou PREMIER,"Located in the entertainment district, DaiwaRoynetHotel Sendai Ichibanchou PREMIER is a great choice for a stay in Sendai. Public transportation is just a short walk: Hirose-dori Station is 4 minutes and Kotodai-Koen Station is 7 minutes.   ",9.4/10 Exceptional,"4-2-1 Aoba, Ichibanchou, Sendai, Miyagi, 980-0811",https://images.trvl-media.com/lodging/42000000/41460000/41457700/41457645/3da7090d.jpg?impolicy=resizecrop&rw=1200&ra=fit
3110,58820497,HOTEL LiVEMAX SENDAI KOKUBUNCHO,"When visiting Sendai, HOTEL LiVEMAX SENDAI KOKUBUNCHO is a great choice to consider. The property is just a short walk to public transportation: Hirose-dori Station is 11 minutes and Kotodai-Koen Station is 14 minutes.   ",7.6/10 Good,"2-8-22 Kokubuncho, Aoba Ward, Sendai, Miyagi, 980-0803",https://images.trvl-media.com/lodging/59000000/58830000/58820500/58820497/22be403c.jpg?impolicy=resizecrop&rw=1200&ra=fit
